StationID,Station Name,Transport ID,Type,Country,District,Begin Date,End Date,Latitude,Longitude,Status
10ZanderijSynop,Zanderij SYNOP,,SYNOP,Suriname,Para,1/1/1951,,5.4494444,-55.2044444,Operationeel
10ZorgEnHoopSynop,Zorg en Hoop SYNOP,,SYNOP,Suriname,Paramaribo,1/1/1959,,5.8113889,-55.1866667,Operationeel
10NickerieSynop,Nickerie SYNOP,,SYNOP,Suriname,Nickerie,1/1/1955,,5.9563889,-57.0394444,Operationeel
20AllianceAWS,Alliance AWS,4EC0E22C,AWS,Suriname,Commewijne,21/2/2020,,5.893253,-54.888367,Operationeel
20ApoeraAWS,Apoera AWS,4EC04C06,AWS,Suriname,Sipaliwini,20/3/2020,,5.183035,-57.161878,Operationeel
20BaitaliARS,Baitali (Kabalebo) ARS,4EC06438,ARS,Suriname,Sipaliwini,20/10/2018,,4.990833,-57.447222,Operationeel
20BoskampAWS,Boskamp AWS,4EC06AEA,AWS,Suriname,Saramacca,9/9/2021,,5.775579,-55.891388,Operationeel
20BrokopondoCentrumARS,Brokopondo Centrum ARS,4EC051A2,ARS,Suriname,Sipaliwini,11/6/2019,,5.054678,-54.977144,Operationeel
20CayanaARS,Cayana ARS,4EC02732,ARS,Suriname,Sipaliwini,15/9/2023,,3.899905556,-55.57298333,Operationeel
20CoeroeniARS,Coeroenie ARS,4EC0FF88,ARS,Suriname,Sipaliwini,30/9/2023,,3.370194444,-57.34402778,Operationeel
20CoronieAWS,Coronie AWS,4EC10DF6,AWS,Suriname,Coronie,15/12/2021,,5.882425,-56.339238,Operationeel
20CultuurtuinAWS,Cultuurtuin AWS,4EC0799C,AWS,Suriname,Paramaribo,6/11/2018,,5.841222,-55.159825,Operationeel
20CremerARS,Cremer ARS,,ARS,Suriname,Sipaliwini,18/11/2018,30/09/2022,4.965314,56.590281,Niet-operationeel
20DrietabbetjeARS,Drietabbetje ARS,4EC01C7A,ARS,Suriname,Sipaliwini,19/5/2023,,4.112,-54.67294444,Niet-operationeel
20DuisburgAWS,Duisburg AWS,4EC0C4C0,AWS,Suriname,Paramaribo,5/11/2018,,5.805550336,-55.21471058,Operationeel
